Surname,Name,Sex,Age,Pclass,Embarked
Abbing,Mr. Anthony,Male,42.0,Third Class,S
Abbott,Mr. Rossmore Edward,Male,16.0,Third Class,S
Abbott,Mrs. Stanton (Rosa Hunt),Female,35.0,Third Class,S
Abelson,Mr. Samuel,Male,30.0,Second Class,C
Abelson,Mrs. Samuel (Hannah Wizosky),Female,28.0,Second Class,C
Adahl,Mr. Mauritz Nils Martin,Male,30.0,Third Class,S
Adams,Mr. John,Male,26.0,Third Class,S
Ahlin,Mrs. Johan (Johanna Persdotter Larsson),Female,40.0,Third Class,S
Aks,Mrs. Sam (Leah Rosen),Female,18.0,Third Class,S
Albimona,Mr. Nassef Cassem,Male,26.0,Third Class,C
Alexander,Mr. William,Male,26.0,Third Class,S
Alhomaki,Mr. Ilmari Rudolf,Male,20.0,Third Class,S
Ali,Mr. Ahmed,Male,24.0,Third Class,S
Ali,Mr. William,Male,25.0,Third Class,S
Allen,Miss. Elisabeth Walton,Female,29.0,First Class,S
Allen,Mr. William Henry,Male,35.0,Third Class,S
Allison,Master. Hudson Trevor,Male,0.92,First Class,S
Allison,Miss. Helen Loraine,Female,2.0,First Class,S
Allison,Mrs. Hudson J C (Bessie Waldo Daniels),Female,25.0,First Class,S
Allum,Mr. Owen George,Male,18.0,Third Class,S
Andersen-Jensen,Miss. Carla Christine Nielsine,Female,19.0,Third Class,S
Anderson,Mr. Harry,Male,48.0,First Class,S
Andersson,Master. Sigvard Harald Elias,Male,4.0,Third Class,S
Andersson,Miss. Ebba Iris Alfrida,Female,6.0,Third Class,S
Andersson,Miss. Ellis Anna Maria,Female,2.0,Third Class,S
Andersson,Miss. Erna Alexandra,Female,17.0,Third Class,S
Andersson,Miss. Ingeborg Constanzia,Female,9.0,Third Class,S
Andersson,Miss. Sigrid Elisabeth,Female,11.0,Third Class,S
Andersson,Mr. Anders Johan,Male,39.0,Third Class,S
Andersson,"Mr. August Edvard (""Wennerstrom"")",Male,27.0,Third Class,S
Andersson,Mrs. Anders Johan (Alfrida Konstantia Brogren),Female,39.0,Third Class,S
Andreasson,Mr. Paul Edvin,Male,20.0,Third Class,S
Andrew,Mr. Edgardo Samuel,Male,18.0,Second Class,S
Andrews,Miss. Kornelia Theodosia,Female,63.0,First Class,S
Andrews,Mr. Thomas Jr,Male,39.0,First Class,S
Angle,"Mrs. William A (Florence ""Mary"" Agnes Hughes)",Female,36.0,Second Class,S
Appleton,Mrs. Edward Dale (Charlotte Lamson),Female,53.0,First Class,S
Arnold-Franchi,Mr. Josef,Male,25.0,Third Class,S
Arnold-Franchi,Mrs. Josef (Josefine Franchi),Female,18.0,Third Class,S
Artagaveytia,Mr. Ramon,Male,71.0,First Class,C
Asim,Mr. Adola,Male,35.0,Third Class,S
Asplund,Master. Clarence Gustaf Hugo,Male,9.0,Third Class,S
Asplund,Master. Edvin Rojj Felix,Male,3.0,Third Class,S
Asplund,Miss. Lillian Gertrud,Female,5.0,Third Class,S
Asplund,Mrs. Carl Oscar (Selma Augusta Emilia Johansson),Female,38.0,Third Class,S
